合约代码,当日结算价,是否单边市,连续单边市天数,交易保证金率(%),涨跌停板(%),交易手续费,交割手续费,平今仓手续费
AP007,,N,0,20,±6,5.00,0.00,20.00
AP010,,N,0,8,±6,5.00,0.00,20.00
AP011,,N,0,8,±6,5.00,0.00,20.00
AP012,,N,0,8,±6,5.00,0.00,20.00
AP101,,N,0,8,±6,5.00,0.00,20.00
AP103,,N,0,8,±6,5.00,0.00,20.00
AP105,,N,0,8,±6,5.00,0.00,20.00
CF007,,N,0,20,±6,4.30,0.00,0.00
CF009,,N,0,7,±6,4.30,0.00,0.00
CF011,,N,0,7,±6,2.00,0.00,0.00
CF101,,N,0,7,±6,4.30,0.00,0.00
CF103,,N,0,7,±6,4.30,0.00,0.00
CF105,,N,0,7,±6,4.30,0.00,0.00
CJ007,,N,0,20,±5,3.00,0.00,0.00
CJ009,,N,0,7,±5,3.00,0.00,0.00
CJ012,,N,0,7,±5,3.00,0.00,0.00
CJ101,,N,0,7,±5,3.00,0.00,0.00
CJ103,,N,0,7,±5,3.00,0.00,0.00
CJ105,,N,0,7,±5,3.00,0.00,0.00
CY007,,N,0,20,±6,4.00,0.00,0.00
CY008,,N,0,7,±6,4.00,0.00,0.00
CY009,,N,0,7,±6,4.00,0.00,0.00
CY010,,N,0,7,±12,4.00,0.00,0.00
CY011,,N,0,7,±12,4.00,0.00,0.00
CY012,,N,0,7,±12,4.00,0.00,0.00
CY101,,N,0,7,±6,4.00,0.00,0.00
CY102,,N,0,7,±12,4.00,0.00,0.00
CY103,,N,0,7,±12,4.00,0.00,0.00
CY104,,N,0,7,±6,4.00,0.00,0.00
CY105,,N,0,7,±6,4.00,0.00,0.00
CY106,,N,0,7,±12,4.00,0.00,0.00
FG007,,N,0,20,±4,3.00,0.00,3.00
FG008,,N,0,5,±4,3.00,0.00,3.00
FG009,,N,0,5,±4,3.00,0.00,3.00
FG010,,N,0,5,±4,1.50,0.00,1.50
FG011,,N,0,5,±4,1.50,0.00,1.50
FG012,,N,0,5,±4,1.50,0.00,1.50
FG101,,N,0,5,±4,3.00,0.00,3.00
FG102,,N,0,5,±4,3.00,0.00,3.00
FG103,,N,0,5,±4,3.00,0.00,3.00
FG104,,N,0,5,±4,3.00,0.00,3.00
FG105,,N,0,5,±4,3.00,0.00,3.00
FG106,,N,0,5,±4,3.00,0.00,3.00
JR007,,N,0,20,±5,3.00,0.00,3.00
JR009,,N,0,6,±5,3.00,0.00,3.00
JR011,,N,0,6,±5,3.00,0.00,3.00
JR101,,N,0,6,±5,3.00,0.00,3.00
JR103,,N,0,6,±10,3.00,0.00,3.00
JR105,,N,0,6,±5,3.00,0.00,3.00
LR007,,N,0,20,±5,3.00,0.00,3.00
MA007,,N,0,20,±6,2.00,0.00,6.00
MA008,,N,0,7,±6,2.00,0.00,6.00
MA009,,N,0,7,±6,2.00,0.00,6.00
MA010,,N,0,7,±6,2.00,0.00,2.00
MA011,,N,0,7,±6,2.00,0.00,2.00
MA012,,N,0,7,±6,2.00,0.00,2.00
MA101,,N,0,7,±6,2.00,0.00,6.00
MA102,,N,0,7,±6,2.00,0.00,6.00
MA103,,N,0,7,±6,2.00,0.00,6.00
MA104,,N,0,7,±6,2.00,0.00,6.00
MA105,,N,0,7,±6,2.00,0.00,6.00
MA106,,N,0,7,±6,2.00,0.00,6.00
OI007,,N,0,20,±5,2.00,0.00,0.00
OI009,,N,0,6,±5,2.00,0.00,0.00
OI011,,N,0,6,±5,1.00,0.00,0.00
OI101,,N,0,6,±5,2.00,0.00,0.00
OI103,,N,0,6,±5,2.00,0.00,0.00
OI105,,N,0,6,±5,2.00,0.00,0.00
PM007,,N,0,20,±5,5.00,0.00,5.00
PM009,,N,0,6,±5,5.00,0.00,5.00
PM011,,N,0,6,±10,5.00,0.00,5.00
PM101,,N,0,6,±5,5.00,0.00,5.00
PM103,,N,0,6,±5,5.00,0.00,5.00
PM105,,N,0,6,±5,5.00,0.00,5.00
RI007,,N,0,20,±10,2.50,0.00,2.50
RI009,,N,0,6,±5,2.50,0.00,2.50
RI011,,N,0,6,±10,2.50,0.00,2.50
RI101,,N,0,6,±10,2.50,0.00,2.50
RI103,,N,0,6,±10,2.50,0.00,2.50
RI105,,N,0,6,±10,2.50,0.00,2.50
RM007,,N,0,20,±5,1.50,0.00,0.00
RM008,,N,0,6,±5,1.50,0.00,0.00
RM009,,N,0,6,±5,1.50,0.00,0.00
RM011,,N,0,6,±5,1.00,0.00,0.00
RM101,,N,0,6,±5,1.50,0.00,0.00
RM103,,N,0,6,±5,1.50,0.00,0.00
RM105,,N,0,6,±5,1.50,0.00,0.00
RS007,,N,0,20,±10,2.00,0.00,2.00
RS008,,N,0,20,±10,2.00,0.00,2.00
RS009,,N,0,20,±10,2.00,0.00,2.00
RS011,,N,0,20,±20,2.00,0.00,2.00
SA007,,N,0,20,±4,3.50,0.00,3.50
SA008,,N,0,5,±4,3.50,0.00,3.50
SA009,,N,0,5,±4,3.50,0.00,3.50
SA010,,N,0,5,±4,3.50,0.00,3.50
SA011,,N,0,5,±4,3.50,0.00,3.50
SA012,,N,0,5,±4,3.50,0.00,3.50
SA101,,N,0,5,±4,3.50,0.00,3.50
SA102,,N,0,5,±4,3.50,0.00,3.50
SA103,,N,0,5,±4,3.50,0.00,3.50
SA104,,N,0,5,±4,3.50,0.00,3.50
SA105,,N,0,5,±4,3.50,0.00,3.50
SA106,,N,0,5,±4,3.50,0.00,3.50
SF007,,N,0,20,±6,3.00,0.00,0.00
SF008,,N,0,7,±6,3.00,0.00,0.00
SF009,,N,0,7,±6,3.00,0.00,0.00
SF010,,N,0,7,±6,1.50,0.00,0.00
SF011,,N,0,7,±6,1.50,0.00,0.00
SF012,,N,0,7,±6,1.50,0.00,0.00
SF101,,N,0,7,±6,3.00,0.00,0.00
SF102,,N,0,7,±6,3.00,0.00,0.00
SF103,,N,0,7,±12,3.00,0.00,0.00
SF104,,N,0,7,±12,3.00,0.00,0.00
SF105,,N,0,7,±6,3.00,0.00,0.00
SF106,,N,0,7,±12,3.00,0.00,0.00
SM007,,N,0,20,±6,3.00,0.00,0.00
SM008,,N,0,7,±6,3.00,0.00,0.00
SM009,,N,0,7,±6,3.00,0.00,0.00
SM010,,N,0,7,±6,1.50,0.00,0.00
SM011,,N,0,7,±6,1.50,0.00,0.00
SM012,,N,0,7,±6,1.50,0.00,0.00
SM101,,N,0,7,±6,3.00,0.00,0.00
SM102,,N,0,7,±6,3.00,0.00,0.00
SM103,,N,0,7,±6,3.00,0.00,0.00
SM104,,N,0,7,±6,3.00,0.00,0.00
SM105,,N,0,7,±6,3.00,0.00,0.00
SM106,,N,0,7,±12,3.00,0.00,0.00
SR007,,N,0,20,±6,3.00,0.00,0.00
SR009,,N,0,7,±6,3.00,0.00,0.00
SR011,,N,0,7,±6,3.00,0.00,0.00
SR101,,N,0,7,±6,3.00,0.00,0.00
SR103,,N,0,7,±6,3.00,0.00,0.00
SR105,,N,0,7,±6,3.00,0.00,0.00
TA007,,N,0,20,±7,3.00,0.00,0.00
TA008,,N,0,8,±7,3.00,0.00,0.00
TA009,,N,0,8,±7,3.00,0.00,0.00
TA010,,N,0,8,±7,1.50,0.00,0.00
TA011,,N,0,8,±7,1.50,0.00,0.00
TA012,,N,0,8,±7,1.50,0.00,0.00
TA101,,N,0,8,±7,3.00,0.00,0.00
TA102,,N,0,8,±7,3.00,0.00,0.00
TA103,,N,0,8,±7,3.00,0.00,0.00
TA104,,N,0,8,±7,3.00,0.00,0.00
TA105,,N,0,8,±7,3.00,0.00,0.00
TA106,,N,0,8,±7,3.00,0.00,0.00
UR007,,N,0,20,±4,5.00,0.00,5.00
UR008,,N,0,5,±4,5.00,0.00,5.00
UR009,,N,0,5,±4,5.00,0.00,5.00
UR010,,N,0,5,±4,5.00,0.00,5.00
UR011,,N,0,5,±4,5.00,0.00,5.00
UR012,,N,0,5,±4,5.00,0.00,5.00
UR101,,N,0,5,±4,5.00,0.00,5.00
UR102,,N,0,5,±4,5.00,0.00,5.00
UR103,,N,0,5,±4,5.00,0.00,5.00
UR104,,N,0,5,±4,5.00,0.00,5.00
UR105,,N,0,5,±4,5.00,0.00,5.00
UR106,,N,0,5,±8,5.00,0.00,5.00
WH007,,N,0,20,±5,5.00,0.00,5.00
WH009,,N,0,7,±5,5.00,0.00,5.00
WH011,,N,0,7,±5,5.00,0.00,5.00
WH101,,N,0,7,±5,5.00,0.00,5.00
WH103,,N,0,7,±5,5.00,0.00,5.00
WH105,,N,0,7,±5,5.00,0.00,5.00
ZC008,,N,0,6,±5,4.00,0.00,0.00
ZC009,,N,0,6,±5,4.00,0.00,0.00
ZC010,,N,0,6,±5,2.00,0.00,0.00
ZC011,,N,0,6,±5,2.00,0.00,0.00
ZC012,,N,0,6,±5,2.00,0.00,0.00
ZC101,,N,0,6,±5,4.00,0.00,0.00
ZC102,,N,0,6,±5,4.00,0.00,0.00
ZC103,,N,0,6,±5,4.00,0.00,0.00
ZC104,,N,0,6,±10,4.00,0.00,0.00
ZC105,,N,0,6,±5,4.00,0.00,0.00
ZC106,,N,0,6,±10,4.00,0.00,0.00
ZC107,,N,0,6,±5,4.00,0.00,0.00
